key,name,description,icon,ability_key
habit_dragon_solstryker_slot1_01,Champion's Brilliance,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Dragon_Strength"">Strength</style>, <style=""Inline_Dragon_Intelligence"">Intelligence</style>, and <style=""Inline_Dragon_Instinct"">Instinct</style> by <style=""Inline_Positive"">+15</style>. Reduce Damage Received by <style=""Inline_Positive"">-8%</style> of the Ally deployed in the <style=""Inline_RightFlank"">Right Flank</style>. ",Icon_DragonAbility_Habit_ChampionsBrilliance_03.png,ability_habit_rare_championsbrilliance_01
habit_dragon_solstryker_slot2_01,Steady Erosion,"At the start of each round, add 1 Stack of Steady Erosion (Max 10 Stacks) to all Enemies.

Each Stack of Steady Erosion reduces the target's <style=""Inline_Dragon_Strength"">Strength</style> by  {effect_group=1:effect=1:base_mod} (enhanced by <style=""Inline_Dragon_Strength"">Strength</style>) until the end of combat.",Icon_DragonAbility_Habit_SteadyErosion_03.png,ability_habit_rare_steadyerosion_01
habit_dragon_solstryker_slot3_01,Energy Drain,"<style=""Inline_Underline"">Round 1</style>: Reduce <style=""Inline_Dragon_Strength"">Strength</style> and <style=""Inline_Dragon_Speed"">Initiative</style> by {effect_group=1:effect=1:base_mod} of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} (enhanced by <style=""Inline_Dragon_Instinct"">Instinct</style>) for {effect_group=1:duration_rounds} round(s). ",Icon_DragonAbility_Habit_EnergyDrain_03.png,ability_habit_rare_energydrain_01
habit_dragon_solstryker_slot4_01,Oppressive Onslaught,"<style=""Inline_Underline"">Each Round</style>: {effect_group=1:trigger_chance} chance to afflict <style=""Inline_Debuff"">Overwhelm</style> on {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} for {effect_group=1:duration_rounds} round(s). <style=""Inline_Bold"">Overwhelm</style> prevents the target from using Active <style=""Inline_Command"">Commands</style> and <style=""Inline_Habit"">Habits</style> on their turn.",Icon_DragonAbility_Habit_OppressiveOnslaught_03.png,ability_habit_rare_oppressiveonslaught_01
habit_dragon_solstryker_slot5_01,Robust Insight,"<style=""Inline_Underline"">Start of Combat</style>: Increase your <style=""Inline_Dragon_Strength"">Strength</style> and <style=""Inline_Dragon_Instinct"">Instinct</style> by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_RobustInsight_05.png,ability_habit_rare_robustinsight_01
habit_dragon_solstryker_slot6_01,Amplified Drain,"<style=""Inline_Underline"">Round 4</style>: Reduce <style=""Inline_Dragon_Strength"">Strength</style> and <style=""Inline_Dragon_Speed"">Initiative</style> by {effect_group=1:effect=1:base_mod} of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} (enhanced by <style=""Inline_Dragon_Instinct"">Instinct</style>) for {effect_group=1:duration_rounds} round(s).",Icon_DragonAbility_Habit_AmplifiedDrain_03.png,ability_habit_rare_amplifieddrain_01
habit_dragon_bevlorin_slot1_01,Champion's Vigor,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Recovery"">Recovery</style> Dealt by  <color=green>+15%</color> and <style=""Inline_Dragon_Speed"">Initiative</style> by <style=""Inline_Positive"">+25</style>. Increase the Damage Dealt by <color=green>+8%</color> of the ally deployed in the <style=""Inline_RightFlank"">Right Flank</style>.",Icon_DragonAbility_Habit_ChampionsVigor_03.png,ability_habit_rare_championsvigor_01
habit_dragon_bevlorin_slot2_01,Fire Ward,"<style=""Inline_Underline"">Start of Combat</style>: Grant yourself and 1 other Ally within adjacency 1 stack of <style=""Inline_Buff"">Fire Ward</style>. At the start of each round, if the target Ally retreated in the previous round, grant yourself 1 stack of <style=""Inline_Buff"">Fire Ward</style>.

Each stack of <style=""Inline_Buff"">Fire Ward</style> reduces the target's <style=""Inline_Damage_Fire"">Fire</style> Damage Received by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_FireWard_03.png,ability_habit_rare_fireward_01
habit_dragon_bevlorin_slot3_01,Dragon's Fury,"At the start of combat, increase your <style=""Inline_Damage_Physical"">Physical</style> (<style=""Inline_Command""></style><style=""Inline_Habit""></style>) and <style=""Inline_Damage_Fire"">Fire</style> Damage Dealt by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_DragonsFury_03.png,ability_habit_rare_dragonsfury_01
habit_dragon_bevlorin_slot4_01,Renewal,"<style=""Inline_Command"">Nature's Reckoning</style> gains:
Odd-numbered rounds: Apply <style=""Inline_Recovery"">Recovery</style> (enhanced by <style=""Inline_Dragon_Strength"">Strength</style>) to {ability=ability_command_rare_naturesreckoning_01:effect_group=4:number_of_targets} {ability=ability_command_rare_naturesreckoning_01:effect_group=4:target_type} {ability=ability_command_rare_naturesreckoning_01:effect_group=4:target_range} (Recovery Rate: {ability=ability_command_rare_naturesreckoning_01:effect_group=4:effect=1:base_mod}).",Icon_DragonAbility_Habit_Renewal_03.png,ability_habit_rare_null_01
