x,y,bbox_w,bbox_h,type_code,type_name,place_name,level,variant,instance_id,template_key
1280,28,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1582,38,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
922,40,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1718,40,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1102,42,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1068,43,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1282,46,2,2,4,Settlement (Town),,2,0b,3286385545442074994,poiNode__town_lvl2_food_dorne_alpha
1561,46,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1703,46,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1140,49,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1256,49,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1540,49,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1294,50,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1531,52,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1547,53,3,3,9,Castle,,3,b700,14456418997839286798,poiNode__castle_lvl3_dorne_alpha
1580,54,5,1,5,Bridge,,2,1f,1498553686271999927,poiNode__bridge_5hex_lvl2_alpha
1671,54,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1130,55,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1438,55,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1319,56,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1683,56,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1088,57,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1241,57,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1593,57,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1603,57,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1655,57,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1424,58,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1332,59,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1344,59,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1487,59,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1052,60,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1059,60,3,5,15,Bridge,,2,9412,1498553686271999927,poiNode__bridge_5hex_lvl2_alpha
1609,60,2,2,4,Settlement (Town),,3,0b,1663067788791778725,poiNode__town_lvl3_iron_dorne_alpha
1307,61,2,2,4,Settlement (Town),,2,07,3286385545442074994,poiNode__town_lvl2_food_dorne_alpha
1417,62,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1558,62,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1720,62,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1537,63,4,3,12,Seat of Power,Saltshore,,fe0e,12637539716245970610,poiNode__sop_Saltshore_alpha
1634,63,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1578,64,3,3,9,Castle,,3,9f00,14456418997839286798,poiNode__castle_lvl3_dorne_alpha
927,65,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1188,65,2,2,4,Crossing,,1,,186484103584441603,poiNode__crossing_lvl1_alpha
1650,65,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1627,66,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
810,67,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
861,67,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
941,67,2,3,6,Bridge,,2,%,6488258009797769972,poiNode__bridge_3hex_lvl2_alpha
1715,67,2,2,4,Settlement (Town),,3,07,14350975191467345930,poiNode__town_lvl3_wood_dorne_alpha
1214,68,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
